[2025-11-04 14:10:12][INFO] - This log is also available at '/scratch/tisi/cartospeed/head_finetuning/2/outputs/2025-11-04/14-10-12/train.log'.
[2025-11-04 14:10:12][INFO] - Package version: 2025.10
[2025-11-04 14:26:20][INFO] - Epoch:   33 | learning rate: 1.000e-05 | training loss: 2.685e+00 | training energy RMSE (per atom):   9.60 meV | training energy MAE (per atom):   7.06 meV | training forces RMSE: 113.11 meV/A | training forces MAE: 62.458 meV/A | validation loss: 1.435e+00 | validation energy RMSE (per atom):  22.64 meV | validation energy MAE (per atom):  10.64 meV | validation forces RMSE: 431.46 meV/A | validation forces MAE: 68.275 meV/A
[2025-11-04 14:26:48][INFO] - Epoch:   34 | learning rate: 1.000e-05 | training loss: 2.696e+00 | training energy RMSE (per atom):   9.68 meV | training energy MAE (per atom):   7.15 meV | training forces RMSE: 112.90 meV/A | training forces MAE: 62.285 meV/A | validation loss: 1.436e+00 | validation energy RMSE (per atom):  23.21 meV | validation energy MAE (per atom):   8.69 meV | validation forces RMSE: 431.47 meV/A | validation forces MAE: 68.299 meV/A
[2025-11-04 14:27:15][INFO] - Epoch:   35 | learning rate: 1.000e-05 | training loss: 2.619e+00 | training energy RMSE (per atom):   9.68 meV | training energy MAE (per atom):   7.08 meV | training forces RMSE: 112.65 meV/A | training forces MAE: 62.172 meV/A | validation loss: 1.436e+00 | validation energy RMSE (per atom):  22.73 meV | validation energy MAE (per atom):   8.25 meV | validation forces RMSE: 431.60 meV/A | validation forces MAE: 68.181 meV/A
[2025-11-04 14:27:43][INFO] - Epoch:   36 | learning rate: 1.000e-05 | training loss: 2.725e+00 | training energy RMSE (per atom):   9.64 meV | training energy MAE (per atom):   7.02 meV | training forces RMSE: 112.43 meV/A | training forces MAE: 62.142 meV/A | validation loss: 1.432e+00 | validation energy RMSE (per atom):  22.48 meV | validation energy MAE (per atom):   8.61 meV | validation forces RMSE: 431.01 meV/A | validation forces MAE: 68.106 meV/A
[2025-11-04 14:28:11][INFO] - Epoch:   37 | learning rate: 1.000e-05 | training loss: 2.660e+00 | training energy RMSE (per atom):   9.64 meV | training energy MAE (per atom):   7.04 meV | training forces RMSE: 112.21 meV/A | training forces MAE: 62.025 meV/A | validation loss: 1.432e+00 | validation energy RMSE (per atom):  22.23 meV | validation energy MAE (per atom):   9.15 meV | validation forces RMSE: 431.14 meV/A | validation forces MAE: 67.883 meV/A
[2025-11-04 14:28:38][INFO] - Epoch:   38 | learning rate: 1.000e-05 | training loss: 2.671e+00 | training energy RMSE (per atom):   9.64 meV | training energy MAE (per atom):   7.01 meV | training forces RMSE: 112.01 meV/A | training forces MAE: 61.955 meV/A | validation loss: 1.433e+00 | validation energy RMSE (per atom):  22.65 meV | validation energy MAE (per atom):   8.31 meV | validation forces RMSE: 431.29 meV/A | validation forces MAE: 67.796 meV/A
[2025-11-04 14:29:06][INFO] - Epoch:   39 | learning rate: 1.000e-05 | training loss: 2.650e+00 | training energy RMSE (per atom):   9.78 meV | training energy MAE (per atom):   7.09 meV | training forces RMSE: 111.81 meV/A | training forces MAE: 61.856 meV/A | validation loss: 1.434e+00 | validation energy RMSE (per atom):  23.30 meV | validation energy MAE (per atom):   8.82 meV | validation forces RMSE: 431.28 meV/A | validation forces MAE: 67.839 meV/A
[2025-11-04 14:29:34][INFO] - Epoch:   40 | learning rate: 1.000e-05 | training loss: 2.617e+00 | training energy RMSE (per atom):   9.79 meV | training energy MAE (per atom):   7.10 meV | training forces RMSE: 111.61 meV/A | training forces MAE: 61.796 meV/A | validation loss: 1.433e+00 | validation energy RMSE (per atom):  22.28 meV | validation energy MAE (per atom):   8.89 meV | validation forces RMSE: 431.35 meV/A | validation forces MAE: 67.695 meV/A
[2025-11-04 14:30:01][INFO] - Epoch:   41 | learning rate: 1.000e-05 | training loss: 2.581e+00 | training energy RMSE (per atom):   9.80 meV | training energy MAE (per atom):   7.15 meV | training forces RMSE: 111.37 meV/A | training forces MAE: 61.540 meV/A | validation loss: 1.432e+00 | validation energy RMSE (per atom):  22.27 meV | validation energy MAE (per atom):   8.57 meV | validation forces RMSE: 431.28 meV/A | validation forces MAE: 67.591 meV/A
[2025-11-04 14:30:29][INFO] - Epoch:   42 | learning rate: 1.000e-05 | training loss: 2.579e+00 | training energy RMSE (per atom):   9.82 meV | training energy MAE (per atom):   7.15 meV | training forces RMSE: 111.29 meV/A | training forces MAE: 61.515 meV/A | validation loss: 1.432e+00 | validation energy RMSE (per atom):  22.43 meV | validation energy MAE (per atom):   9.75 meV | validation forces RMSE: 431.16 meV/A | validation forces MAE: 67.491 meV/A
